NumberOfVehicles,CrashDate,CrashTime,DayOfWeek,TypeOfCollision,LocationOfFirstHarmfulEvent,RoadwaySurfaceType,RoadwayDefect,LightCondition_Category,LightCondition_Value,RoadwayDescription,WorkZoneLocation,WeatherCondition,RoadwayAlignment,WorkZoneWorkersPresent,SchoolZone,IntersectionType,WorkZoneType,TrafficControlType,RoadwaySurfaceCondition,RelationToRoadway_Category,RelationToRoadway_Value,TrafficControlMechanicalDevice,WorkZoneRelated,Year,Meteorological Season,MonthName,DaytimeNighttime_NHTSA,ThreeHourLabel,Hour,CrashType,AlcoholInvolved,SpeedRelated,CommercialMotorVehiclesInvolved,PedestrianInvolved,BicycleInvolved,MotorcycleInvolved,MopedInvolved,TrainRelated,SchoolZoneInvolved,TeenDriverInvolved,DistractedDriverInvolved,DriverTextingInvolved,DriverUsingCellPhone,Single_Multi_Vehicle,Jurisdiction,TownName,LocationTypeName,Latitude,Longitude,Interstate_NonInterstate,RoadName,RouteNumber,RouteName,MileMarker,FunctionalClassCode,AtIntersection,SecondaryLocation,MatureDriverInvolved,MatureDriverFatalities,MatureDriverInjuries,LargeTruckInvolved,PedestrianFatalities,PedestrianInjuries,MotorcycleFatalities,MotorcycleInjuries,BicycleFatalities,BicycleInjuries,DistractedDriverFatalities,DistractedDriverInjuries,UnrestrainedInjuries,Number_Of_Fatalities,Number_Of_Injuries,Crash_UID,Is_Fatal,Is_Severe,Is_Minor,SeverityLabel
3,2023-01-17,16:26:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection,Intersection Related - Outside 150 Feet,Yes - Working,No,2023,Winter,January,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Prince William County,,Urban,38.77149,-77.49732,Non-Interstate,BUS VA-234S (1 CITY OF MANASSAS),234.0,SUDLEY RD,4.71,Minor Arterial,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c5799035,0,0,1,Minor
2,2024-09-07,18:30:00,Saturday,Backed Into,On Roadway,Concrete,No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Autumn,September,Nighttime,6:00pm - 8:59pm,18,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.76937,-77.18277,Interstate,I-95R RAMP 37A,95.0,I-95 RAMP,0.2,Interstate,At Intersection,FRANCONIA SPRINGFIELD PKWAY,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c8029100,0,1,0,Severe
2,2023-02-03,08:48:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Three Approaches,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Winter,February,Daytime,6:00am - 8:59am,8,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Harrisonburg City,,Urban,38.45097,-78.8724,Non-Interstate,VA-42S,42.0,HIGH ST,227.99,Other Principal Arterial,At Intersection,ELIZABETH ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6280155,0,0,1,Minor
1,2022-08-30,10:25:00,Tuesday,Pedestrian,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Hillcrest - Straight,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Other Location,"Other Crossing (Crossings for Bikes, School, etc.",Yes - Working,No,2022,Summer,August,Daytime,9:00am - 11:59am,10,Injury Crash,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Arlington County,,Urban,38.90226,-77.10875,Non-Interstate,CR-6743S (ARLINGTON COUNTY),6743.0,MILITARY RD,1.6,Minor Arterial,At Intersection,LORCOM LN,No,0,0,No,0,2,0,0,0,0,0,0,0,0,2,c2860957,0,1,0,Severe
4,2023-10-14,19:35:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,October,Nighttime,6:00pm - 8:59pm,19,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Loudoun County,,Rural,38.93751,-77.52387,,DULLES SOUTH PKWY (PR - LOUDOUN COUNTY),,DULLES WEST BLVD,0.53,,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7778124,0,0,1,Minor
3,2022-09-27,07:10:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Autumn,September,Daytime,6:00am - 8:59am,7,Injury Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Rockingham County,,Rural,38.36715,-78.83254,Non-Interstate,VA-276N,276.0,CROSS KEYS RD,7.21,Minor Arterial,At Intersection,PORT REPUBLIC RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,3,c5382341,0,1,0,Severe
3,2022-12-16,05:12:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Fog,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2022,Winter,December,Nighttime,3:00am - 5:59am,5,Injury Crash,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Augusta County,,Rural,37.93299,-79.22713,Interstate,I-81N,81.0,I-81,205.7,Interstate,Not at Intersection,,No,0,0,Yes,0,0,0,0,0,0,0,1,0,0,4,c1423891,0,1,0,Severe
2,2022-12-18,18:00:00,Sunday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Winter,December,Nighttime,6:00pm - 8:59pm,18,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.69856,-77.2256,Interstate,I-95S,95.0,I-95,163.66,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1958216,0,0,1,Minor
2,2023-03-07,15:18:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Spring,March,Daytime,3:00pm - 5:59pm,15,Injury Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Loudoun County,,Urban,39.02818,-77.44244,Non-Interstate,SC-2150W (LOUDOUN COUNTY),2150.0,GLOUCESTER PKWY,5.26,Major Collector,Not at Intersection,,Yes,0,1,No,0,0,0,0,0,0,0,1,0,0,2,c4492447,0,1,0,Severe
2,2024-02-11,10:05:00,Sunday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Wet,Intersection Area,Within Intersection,Yes - Working,No,2024,Winter,February,Daytime,9:00am - 11:59am,10,Injury Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Stafford County,,Urban,38.35689,-77.51449,Non-Interstate,US-17S,17.0,WARRENTON RD,183.82,Other Principal Arterial,At Intersection,BANKS FORD PKWY,No,0,0,No,0,0,0,0,0,0,0,1,0,0,2,c7497271,0,1,0,Severe
